id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
418,418,225289,9110,,,,0.085039,61.313970,221.7295,14.29,2.24,14.0,5.800,-0.929,B8MNp...,-0.067,106.405975,2.369398,194.515247,0.00000442,0.00001546,0.00001372,0.022263193198905826,1.0701306540234776,0.00000006927987495138889,0.000000010859826,,,Cas,1,418,,204.9273858380245,V567,5.809,5.789
441,443,28,3,,33    Psc,,0.088928,-5.707618,39.4945,-8.29,88.19,-6.0,4.610,1.627,K1III,1.029,39.287997,0.914841,-3.927804,-0.00000439,-0.00000169,0.00001741,0.023281305328276467,-0.09961672987464,-0.00000004019105411805555,0.000000427557184,,33,Psc,1,441,,19.462561593612413,BC,4.62,4.6
475,476,87,4,,86    Peg,,0.094989,13.396266,114.2857,42.59,-6.51,-2.0,5.550,0.260,G5III,0.901,111.141705,2.764456,26.478222,-0.00000174,0.00002356,-0.00000398,0.0248680747187823,0.2338089558380125,0.00000020648214654861113,-0.00000003156137,,86,Peg,1,475,,68.54882264526617,,,
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,247.36,17.77,-11.6,5.980,4.320,G5V,0.687,11.238030,0.307211,18.300258,-0.00000849,0.00002553,-0.00000914,0.027320425307301943,1.0199133908246714,0.0000011992351202222223,0.000000086151391,,,Cas,1,517,Gl   4.1,1.6292960326397214,V640,5.994,5.964
521,522,142,6,Gl 4.2A,,,0.105277,-49.075191,25.7136,575.21,-39.94,2.6,5.700,3.649,G1IV...,0.519,16.837769,0.464410,-19.428440,-0.00000399,0.00007162,-0.00000527,0.02756156509675433,-0.85652366430261,0.000002788696771923611,-0.000000193634584,,,Phe,1,521,Gl   4.2,3.0227344800386517,,,
530,531,144,7,,10    Cas,,0.107370,64.196168,265.9574,9.70,0.01,-0.4,5.570,-1.554,B9III,-0.023,115.723206,3.253833,239.438695,-0.00000054,0.00001250,-0.00000036,0.028109436485611372,1.1204345074242086,0.00000004702692701388888,0.000000000048481,,10,Cas,1,530,,364.4181507888612,,,
635,636,319,12,,,,0.129693,-22.508560,78.3699,70.10,-34.71,-13.0,5.930,1.459,A1V,0.141,72.358029,2.457783,-30.001634,-0.00001822,0.00002603,-0.00000709,0.03395367272591311,-0.39284847743974505,0.0000003398543900694444,-0.000000168278828,,,Cet,1,635,,22.71956437735267,,,
654,655,344,13,,,,0.134303,-33.529326,94.9668,-42.75,3.15,7.0,5.670,0.782,K1III,1.119,79.115753,2.782872,-52.456250,0.00000746,-0.00001943,-0.00000275,0.03516055349382617,-0.5851971343732375,-0.0000002072578484375,0.00000001527163,,,Scl,1,654,,42.383810577435,,,
670,671,360,16,,,,0.138204,-8.824112,98.4252,-34.13,-35.67,20.0,5.990,1.024,G8III:,1.034,97.196752,3.518268,-15.098621,0.00001818,-0.00001564,-0.00001996,0.03618160116454473,-0.15400980916409124,-0.00000016546690917361112,-0.000000172933039,,,Cet,1,670,,33.91563869058218,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.070,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.00002650,0.03659716270801555,0.5077238184659449,0.0000006577952017777778,-0.000000790003892,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
727,729,448,22,,87    Peg,,0.150672,18.211963,87.4126,140.93,-25.57,-23.0,5.570,0.862,G9III,1.043,82.969037,3.274515,27.319281,-0.00002130,0.00005893,-0.00001764,0.03944591941930006,0.31785871928999254,0.0000006832479200069445,-0.000000123966858,,87,Peg,1,727,,39.37313537008504,,,
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.149780,16.7842,523.39,-180.42,11.3,2.280,1.155,F2III-IV,0.380,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025852830323276,1.0323584043676326,0.0000025374663226597225,-0.000000874700842,Bet,11,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
759,761,493,24,,Kap1Scl,,0.155851,-27.987928,77.4593,72.57,-9.99,9.0,5.420,0.975,F3V,0.414,68.343305,2.790097,-36.350566,0.00000525,0.00002749,-0.00000763,0.04080165350626981,-0.4884814967877525,0.00000035182928797916665,-0.000000048432886,Kap-1,,Scl,1,759,,35.481338923357534,,,
763,765,496,25,Gl 9.1,Eps Phe,,0.156836,-45.747426,44.2087,122.15,-180.13,-9.2,3.880,0.652,K0III,1.013,30.823770,1.266396,-31.665333,-0.00003526,0.00002475,-0.00002020,0.04105967874921949,-0.7984432093302175,0.0000005921999107986112,-0.000000873294882,Eps,,Phe,1,763,,47.7749234659094,,,
811,813,560,26,,34    Psc,,0.167278,11.145813,93.6330,29.73,1.64,14.0,5.540,0.683,B9V,-0.064,91.778975,4.021883,18.099895,0.00001330,0.00001409,0.00000350,0.043793360182188254,0.19453113557076,0.00000014413510722916667,0.000000007950944,,34,Psc,1,811,,46.43014072818033,,,
812,814,636,30,,Gam3Oct,,0.167293,-82.224047,78.0640,-21.66,-20.39,15.0,5.290,0.828,K1/K2III,1.049,10.551931,0.462380,-77.346312,-0.00000521,-0.00000843,-0.00001624,0.04379732015687193,-1.4350803419682037,-0.00000010501064320833333,-0.000000098853509,Gam-3,,Oct,1,812,,40.625619818684335,,,
838,840,587,29,,,,0.171908,-5.248588,58.3090,34.98,-29.01,24.0,5.840,2.011,K1III,0.973,58.005940,2.612349,-5.333956,0.00002322,0.00001094,-0.00001041,0.04500547089347276,-0.09160513463892,0.00000016958782545833334,-0.000000140644448,,,Psc,1,838,,13.66469680740465,,,
839,841,571,27,,22    And,,0.172012,46.072272,377.3585,4.51,0.21,-5.0,5.010,-2.874,F2II,0.405,261.527194,11.785276,271.779391,-0.00000419,0.00000807,-0.00000342,0.04503274031959869,0.8041128329084449,0.000000021865096993055556,0.000000001018108,,22,And,1,839,,1229.1361730601686,,,
871,873,645,31,,,,0.178565,-12.579897,75.0188,149.39,-38.22,6.0,5.840,1.464,K0III,1.000,73.137904,3.421562,-16.339167,0.00000042,0.00005441,-0.00001490,0.04674809930262709,-0.219560616338145,0.0000007242631573819444,-0.000000185295788,,,Cet,1,871,,22.615177461083626,,,
908,910,693,33,Gl 10,6    Cet,,0.187739,-15.467977,18.7477,-84.20,-269.31,14.6,4.890,3.525,F5V,0.487,18.046958,0.887717,-5.000042,0.00000823,-0.00000726,-0.00002757,0.0491498571352085,-0.26996713445257625,-0.0000004082131190277777,-0.000001305651723,,6,Cet,1,908,,3.3884415613920247,,,
928,930,720,34,,Kap2Scl,,0.192894,-27.799737,243.3090,4.61,17.09,-6.0,5.410,-1.521,K2III,1.346,214.952607,10.864269,-113.475053,0.00000369,0.00000563,0.00002069,0.05049962656171839,-0.4851969350217425,0.000000022349910673611113,0.000000082854658,Kap-2,,Scl,1,928,,353.50861336199705,,,
948,950,739,35,NN 3013,The Scl,,0.195552,-35.133119,21.2766,169.01,113.75,-13.5,5.240,3.600,F3/F5V,0.459,17.377471,0.890451,-12.244148,-0.00000543,0.00001718,0.00001754,0.051195352606513186,-0.6131886115888412,0.0000008193836015069444,0.000000551475561,The,,Scl,1,948,,3.162277660168378,,,
981,983,787,37,,,,0.202773,-17.938278,190.8397,60.48,-24.69,-8.0,5.290,-1.113,K4III,1.478,181.306922,9.633925,-58.777132,-0.00001777,0.00005509,-0.00001921,0.0530859466339975,-0.31308200637934874,0.00000029321531399999997,-0.000000119700497,,,Cet,1,981,,242.77278476809965,,,
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.0480,4.70,-8.24,4.0,2.830,-2.567,B2IV,-0.190,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.05775241337962613,0.2650037404493388,0.000000022786242986111112,-0.000000039948647,Gam,88,Peg,1,1065,,926.4031007363994,Gam,2.846,2.816
1072,1074,1032,47,,,,0.222099,-84.993978,298.5075,10.97,17.40,4.0,5.780,-1.595,M0/M1III,1.710,26.003872,1.513836,-297.368888,0.00002447,0.00001733,-0.00000188,0.05814527336053162,-1.4834247648711751,0.00000005318406075694444,0.00000008435758,,,Oct,1,1072,,378.44258471709315,,,
1084,1086,905,41,,23    And,,0.225240,41.035370,34.9040,-122.76,-146.91,-29.0,5.710,2.996,F0IV,0.331,26.282289,1.551559,22.915172,-0.00000482,-0.00002109,-0.00003822,0.05896766937385031,0.7162023089019425,-0.00000059515727425,-0.000000712239778,,23,And,1,1084,,5.515691912608027,,,
1094,1096,942,42,,,,0.228401,-26.022345,396.8254,37.59,-78.73,-30.0,5.940,-2.053,K5III,1.548,355.958884,21.310082,-174.095773,-0.00009817,0.00006656,-0.00012264,0.059795149612797055,-0.4541756048208375,0.00000018224146252083336,-0.00000038169381,,,Scl,1,1094,,577.0321353329299,,,
1156,1158,1014,46,,,,0.241008,-7.780532,178.5714,61.01,2.36,-2.0,5.130,-1.129,M3IIIvar,1.601,176.575373,11.155955,-24.174803,-0.00000508,0.00005260,0.00000230,0.06309567711723194,-0.1357959018859825,0.0000002957848265069444,0.000000011441602,,,Cet,1,1156,,246.37690767217697,AD,5.181,5.111
1166,1168,1013,45,,89Chi Peg,,0.243378,20.206702,112.8668,90.66,1.88,-46.0,4.790,-0.473,M2III,1.572,105.704826,6.744268,38.984950,-0.00004757,0.00004667,-0.00001528,0.06371622390572443,0.3526734757518487,0.0000004395320827916666,0.000000009114497,Chi,89,Peg,1,1166,,134.64802883878474,,,
1169,1170,1038,48,,7    Cet,,0.244005,-18.932866,137.1742,-27.15,-73.78,-23.0,4.440,-1.246,M1III,1.640,129.488149,8.283000,-44.507481,-0.00003694,-0.00002045,-0.00003878,0.06388027526450013,-0.3304408408359138,-0.00000013162691427083333,-0.000000357695533,,7,Cet,1,1169,,274.4100418256573,AE,4.484,4.384
1189,1191,1064,51,,,,0.248476,-9.569571,103.8422,22.64,-8.45,17.0,5.770,0.688,B9V,-0.084,102.180753,6.656346,-17.263280,0.00001566,0.00001244,-0.00000708,0.06505093141590118,-0.167020522459115,0.00000010976181727777777,-0.000000040966756,,,Cet,1,1189,,46.21681360922447,,,
1286,1288,1187,57,,,,0.269126,-31.446394,152.2070,117.87,-27.11,26.0,5.660,-0.252,K2III,1.350,129.530168,9.141561,-79.406606,0.00000610,0.00008762,-0.00003094,0.07045707918649612,-0.5488431140386449,0.0000005714498852708333,-0.000000131432988,,,Scl,1,1286,,109.84998450583755,,,
1351,1354,1239,60,,,,0.282513,61.533185,190.1141,-6.00,-3.46,-4.0,5.740,-0.655,G8III,0.898,90.370066,6.696118,167.128006,0.00000126,-0.00000545,-0.00000512,0.07396176547281771,1.0739566852226612,-0.000000029088820833333333,-0.000000016774553,,,Cas,1,1351,,159.220872705117,,,
1363,1366,1280,63,,24The And,,0.284863,38.681636,94.6970,-50.01,-17.90,1.0,4.610,-0.272,A2V,0.059,73.717927,5.507828,59.184918,0.00000763,-0.00002245,-0.00000578,0.0745769335159356,0.67512190066058,-0.00000024245532164583333,-0.000000086781648,The,24,And,1,1363,,111.8922481955243,,,
1369,1372,1279,62,,,,0.285845,47.947405,343.6426,4.05,-3.97,-9.0,5.860,-1.821,B7III,-0.079,229.531844,17.208961,255.164977,-0.00000176,0.00000663,-0.00001126,0.07483408380584805,0.8368400885878488,0.0000000196349540625,-0.000000019247103,,,Cas,1,1369,,466.01511170218424,,,
1470,1473,1404,68,,25Sig And,,0.305463,36.785224,41.3223,-66.51,-42.48,-8.0,4.510,1.429,A2V,0.054,32.988623,2.643715,24.744457,-0.00000039,-0.00001340,-0.00001171,0.07997000556618429,0.6420232749475537,-0.00000032244957893749997,-0.000000205948851,Sig,25,And,1,1470,,23.356082466252186,,,
1490,1493,1439,71,,,,0.310625,31.517227,166.6667,58.09,-2.91,-5.0,5.880,-0.229,A0IV,-0.014,141.610946,11.541536,87.125810,-0.00000693,0.00004652,-0.00000468,0.08132155024733655,0.5500793775543176,0.00000028162826703472224,-0.000000014108078,,,And,1,1490,,107.5474208972789,,,
1559,1562,1522,74,,8Iot Cet,,0.323799,-8.823921,84.1751,-14.37,-37.84,19.0,3.560,-1.066,K2III,1.214,82.880324,7.042663,-12.912353,0.00001727,-0.00000442,-0.00001824,0.08477025140739841,-0.15400648121809002,-0.00000006966772589583332,-0.000000183453496,Iot,8,Cet,1,1559,,232.4877101501645,,,
1595,1599,1581,77,Gl 17,Zet Tuc,,0.334142,-64.874791,8.5866,1707.56,1165.36,9.0,4.230,4.561,F9V,0.576,3.631914,0.318885,-7.774227,0.00004144,0.00007498,0.00001226,0.08747810173923232,-1.1322786980338138,0.000008278484483694444,0.000005649824707,Zet,,Tuc,1,1595,,1.3049684141302225,,,
1626,1630,1606,78,,,,0.340111,30.935614,159.7444,15.27,-0.64,4.0,5.890,-0.127,B7V,-0.098,136.477267,12.184297,82.120542,0.00000270,0.00001211,0.00000168,0.08904094377167894,0.5399283118504388,0.00000007403104902083332,-0.000000003102807,,,And,1,1626,,97.90390174480511,,,
1641,1645,1635,80,,41    Psc,,0.343295,8.190271,125.0000,-4.50,9.59,16.0,5.380,-0.105,K3III,1.343,123.225843,11.104763,17.807629,0.00001555,-0.00000134,0.00000808,0.08987439210461327,0.14294720081927123,-0.000000021816615624999998,0.000000046493631,,41,Psc,1,1641,,95.94006315159336,,,
1643,1647,1685,83,,Pi  Tuc,,0.344178,-69.624913,97.5610,-4.01,-0.64,12.0,5.500,0.554,B9V,-0.046,33.829515,3.056494,-91.457047,0.00000414,-0.00000153,-0.00001161,0.09010556789099984,-1.2151839731495613,-0.000000019441028590277777,-0.000000003102807,Pi,,Tuc,1,1643,,52.28775553134414,,,
1653,1657,1632,79,,,,0.345978,32.911186,191.9386,-29.44,-17.29,-36.0,5.790,-0.626,K5III,1.595,160.474300,14.575103,104.287431,-0.00001960,-0.00002929,-0.00003351,0.09057687811995889,0.5744085645375062,-0.00000014272914755555558,-0.000000083824285,,,And,1,1653,,155.02437888710415,,,
1682,1686,1671,82,,27Rho And,,0.352017,37.968603,48.5437,58.32,-39.65,9.0,5.160,1.729,F5III,0.442,38.106993,3.521856,29.865569,0.00001168,0.00001486,-0.00000169,0.09215774000421187,0.6626771359995399,0.0000002827433385,-0.000000192228624,Rho,27,And,1,1682,,17.717400399431227,,,
1702,1706,1801,87,,,,0.357986,-77.426873,174.8252,14.23,-6.44,21.0,5.960,-0.253,K3III,1.397,37.889928,3.561585,-170.632895,-0.00000178,0.00001195,-0.00002215,0.093720621653634,-1.3513538551925088,0.00000006898898674305555,-0.000000031222001,,,Hyi,1,1702,,109.95120668793497,,,
1704,1708,1737,84,,Iot Scl,,0.358665,-28.981469,101.3171,32.77,-71.48,21.0,5.180,0.152,K0III,1.006,88.239543,8.310005,-49.090933,0.00000026,0.00001619,-0.00004112,0.09389838114262729,-0.5058220522671575,0.00000015887344311805555,-0.000000346544818,Iot,,Scl,1,1704,,75.71815097147055,,,
1724,1728,1760,85,,,,0.362853,-20.058024,270.2703,62.63,-12.77,29.0,5.610,-1.549,M5/M6Ib/II,1.580,252.732870,24.080813,-92.695126,0.00001424,0.00008379,-0.00002589,0.09499473183957115,-0.35007855171868624,0.0000003036388081319445,-0.000000061910707,,,Cet,1,1724,,362.7438014764576,T,6.001,5.341
1916,1921,1976,91,,,,0.404348,52.019914,306.7485,13.70,-4.40,-7.0,5.580,-1.854,B5IV,-0.110,187.712485,19.945498,241.786691,-0.00000141,0.00002034,-0.00000967,0.10585801617039957,0.9079187743467413,0.0000000664194742361111,-0.000000021331801,,,Cas,1,1916,,480.3966829296808,V746,5.6,5.56
1955,1960,2011,93,,12    Cas,,0.413193,61.831057,215.0538,13.67,-2.45,-4.0,5.380,-1.283,B9III,0.008,100.927665,10.960580,189.582683,-0.00000122,0.00001420,-0.00000481,0.10817380089776366,1.0791555320680688,0.00000006627403013194444,-0.000000011877935,,12,Cas,1,1955,,283.92262394249076,,,
1977,1982,2054,96,,,,0.418445,53.046786,158.2278,25.80,0.30,10.0,5.720,-0.276,B9IV,-0.056,94.550500,10.399574,126.444126,0.00000377,0.00002032,0.00000831,0.10954855046688386,0.9258410667263588,0.00000012508192958333334,0.000000001454441,,,Cas,1,1977,,112.30523475410828,,,
2000,2006,2114,97,,44    Psc,,0.423391,1.939692,144.0922,-14.33,-12.89,-4.0,5.770,-0.023,G5III,0.855,143.125834,15.929870,4.877167,-0.00000265,-0.00001037,-0.00000914,0.11084355810424629,0.03385401819077375,-0.00000006947380042361111,-0.000000062492483,,44,Psc,1,2000,,88.96107044092288,,,
2016,2021,2151,98,Gl 19,Bet Hyi,,0.427916,-77.254247,7.4588,2220.12,324.37,22.9,2.820,3.457,G2IV,0.618,1.635267,0.184517,-7.275205,0.00000754,0.00008163,-0.00002026,0.11202811014799156,-1.3483409638363189,0.000010763445484749999,0.000001572590135,Bet,,Hyi,1,2016,,3.6074473386419155,,,
2069,2072,2262,100,Gl 20,Kap Phe,,0.436716,-43.679829,23.8095,106.14,32.83,11.3,3.930,2.046,A7V,0.175,17.106924,1.964466,-16.443574,0.00000951,0.00001342,-0.00000524,0.11433201758585475,-0.7623568403121038,0.0000005145812405416667,0.000000159164331,Kap,,Phe,1,2069,,13.231223331133709,,,
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.9740,232.76,-353.64,75.0,2.400,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,0.00002323,0.00003218,-0.00008456,0.11468290295782503,-0.7383786688321162,0.000001128452322861111,-0.000001714495099,Alp,,Phe,1,2076,,64.44659847416881,,,
2153,2159,2363,102,,,,0.454085,-25.547170,176.0563,32.93,-15.26,-3.0,5.990,-0.238,K0III,1.022,157.722258,18.838748,-75.924977,-0.00001166,0.00002691,-0.00001043,0.11887920193001882,-0.44588223634746127,0.00000015964914500694445,-0.000000073982567,,,Scl,1,2153,,108.44261957670734,,,
2204,2210,2429,105,,Eta Scl,,0.465472,-33.007167,138.5042,-20.48,-50.39,11.0,4.860,-0.847,M2/M3III,1.634,115.288699,14.119065,-75.449377,-0.00000726,-0.00001474,-0.00003450,0.12186039221388445,-0.5760837406041137,-0.00000009928984177777779,-0.000000244297613,Eta,,Scl,1,2204,,190.02030025772322,Eta,4.94,4.81
2213,2219,2411,103,,47    Psc,,0.467475,17.893125,162.0746,114.91,20.48,6.0,5.010,-1.039,M3IIIvar,1.584,153.081675,18.829007,49.796210,-0.00001013,0.00008972,0.00001720,0.12238478361975286,0.31229393978610875,0.000000557099400326389,0.000000099289841,,47,Psc,1,2213,,226.7775191567259,TV,5.231,4.831
2220,2225,2421,104,,,,0.470454,44.394452,86.6551,84.10,-15.33,2.0,5.180,0.491,A2Vs,0.043,61.449530,7.606996,60.623414,0.00000158,0.00003579,-0.00000317,0.12316455262267179,0.7748293556830512,0.00000040772830534722216,-0.000000074321937,,,And,1,2220,,55.41151189716867,,,
2234,2240,2490,109,,,,0.474027,-39.915002,115.2074,135.95,-41.36,32.0,5.420,0.113,M0III,1.556,87.684385,10.937992,-73.923068,0.00000080,0.00007662,-0.00003872,0.12409995116173876,-0.6966482105407075,0.0000006591041987152777,-0.000000200518938,,,Phe,1,2234,,78.48741034887297,,,
2347,2353,2637,117,,12    Cet,,0.500655,-3.957332,173.9130,8.61,-14.51,5.0,5.720,-0.482,M0III,1.545,172.010200,22.675579,-12.002360,0.00000327,0.00000775,-0.00001256,0.13107116224650658,-0.06906847053156875,0.00000004174245789583333,-0.000000070346465,,12,Cet,1,2347,,135.76880641390918,,,
2349,2355,2628,114,,28    And,,0.502045,29.751557,62.7746,43.56,-57.18,-10.0,5.200,1.211,A7III,0.271,54.029838,7.142605,31.151228,-0.00000198,0.00001311,-0.00002018,0.13143501186734344,0.5192626203559575,0.00000021118483925000002,-0.000000277216462,,28,And,1,2349,,28.54959816900407,GN,5.223,5.173
2371,2377,2626,113,,,,0.505534,59.977554,235.8491,16.26,-3.94,-17.0,5.940,-0.923,B9IIIn,-0.003,116.972486,15.572249,204.204968,-0.00000721,0.00001779,-0.00001731,0.13234854776866403,1.0468057998604838,0.00000007883070445833334,-0.000000019101659,,,Cas,1,2371,,203.79803862870568,,,
2375,2381,2696,118,,,,0.506293,-23.787680,53.1067,-26.95,13.97,0.5,5.170,1.544,A3V,0.128,48.168847,6.422298,-21.420512,0.00000282,-0.00000662,0.00000308,0.13254724774873952,-0.4151733423758787,-0.0000001306572869097222,0.000000067728471,,,Cet,1,2375,,21.00873969240991,,,
2377,2383,2726,120,,,,0.507242,-48.214910,43.0849,163.44,-87.30,2.0,5.670,2.498,F2V,0.367,28.456358,3.801349,-32.126245,-0.00001664,0.00003222,-0.00001368,0.13279555632044562,-0.8415089333705013,0.0000007923794795,-0.000000423242343,,,Phe,1,2377,,8.72569442770116,,,
2466,2472,2834,125,,Lam1Phe,,0.523594,-48.803514,52.9661,140.74,19.47,-2.0,4.760,1.140,A0V,0.018,34.558503,4.767165,-39.854610,-0.00000255,0.00003613,0.00000483,0.13707657135927262,-0.8517820110592987,0.000000682326774013889,0.000000094393223,Lam-1,,Phe,1,2466,,30.47894989627983,,,
2469,2475,2767,122,,,,0.523787,33.581642,116.1440,49.61,-16.26,9.0,5.880,0.555,K1III...,1.133,95.851154,13.226847,64.242154,0.00000879,0.00002941,-0.00000254,0.13712716951558557,0.58611022323134,0.00000024051606692361114,-0.000000078830704,,,And,1,2469,,52.239618899911974,,,
2478,2484,2884,126,,Bet1Tuc,,0.525725,-62.958218,41.4079,82.48,-54.37,14.0,4.360,1.275,B9V,-0.064,18.647710,2.582977,-36.881102,-0.00000545,0.00001596,-0.00001771,0.13763439990033258,-1.0988281874404826,0.0000003998743237222222,-0.000000263593198,Bet-1,,Tuc,1,2478,,26.915348039269155,,,
2479,2487,2885,127,,Bet2Tuc,,0.525946,-62.965561,51.6529,87.95,-45.79,10.0,4.530,0.965,A2V,0.147,23.255404,3.222589,-46.009047,-0.00000853,0.00002105,-0.00001432,0.13769240594428045,-1.09895635546661,0.00000042639363204861116,-0.000000221996184,Bet-2,,Tuc,1,2479,,35.80964371026361,,4.548,4.278
